FID,OBJECTID,ENTITY,LAYER1,ACTIVE,ROW_ID,COL_ID,ACRES,CELL_INTGR,Diff,Cal
15772,1027,Polyline,1,0,8.000000000000000,82.000000000000000,639.996999999999957,1008082,0.0000000,0.0000000
15773,11933,Polyline,1,1,55.000000000000000,159.000000000000000,639.996999999999957,1055159,0.0152765,0.0587427
15774,9596,Polyline,1,1,44.000000000000000,141.000000000000000,639.996999999999957,1044141,-0.0021108,0.2100150
15775,7224,Polyline,1,0,33.000000000000000,123.000000000000000,639.996999999999957,1033123,0.0000000,0.0000000
15776,17523,Polyline,1,0,80.000000000000000,200.000000000000000,639.996999999999957,1080200,0.0000000,0.0000000
15777,4880,Polyline,1,0,22.000000000000000,105.000000000000000,639.996999999999957,1022105,0.0000000,0.0000000
15778,14679,Polyline,1,1,69.000000000000000,182.000000000000000,639.996999999999957,1069182,0.0015857,0.1289050
15779,2744,Polyline,1,0,11.000000000000000,87.000000000000000,639.996999999999957,1011087,0.0000000,0.0000000
15780,12625,Polyline,1,1,58.000000000000000,164.000000000000000,639.996999999999957,1058164,0.0194474,0.0442907
15781,10005,Polyline,1,1,47.000000000000000,146.000000000000000,639.996999999999957,1047146,-0.0002047,0.1997640
15782,8004,Polyline,1,1,36.000000000000000,128.000000000000000,639.996999999999957,1036128,-0.0000901,0.1832350
15783,17995,Polyline,1,0,83.000000000000000,205.000000000000000,639.996999999999957,1083205,0.0000000,0.0000000
15784,5458,Polyline,1,1,25.000000000000000,110.000000000000000,639.996999999999957,1025110,-0.0563469,0.0837624
15785,15128,Polyline,1,0,72.000000000000000,187.000000000000000,639.996999999999957,1072187,0.0000000,0.0000000
15786,3272,Polyline,1,0,14.000000000000000,92.000000000000000,639.996999999999957,1014092,0.0000000,0.0000000
15787,13132,Polyline,1,1,61.000000000000000,169.000000000000000,639.996999999999957,1061169,0.0184529,0.0428789
15788,1101,Polyline,1,0,3.000000000000000,74.000000000000000,639.996999999999957,1003074,0.0000000,0.0000000
15789,10863,Polyline,1,1,50.000000000000000,151.000000000000000,639.996999999999957,1050151,0.0045076,0.1211500
15790,6060,Polyline,1,1,39.000000000000000,133.000000000000000,639.996999999999957,1039133,-0.0004358,0.2065260
15791,5990,Polyline,1,0,28.000000000000000,115.000000000000000,639.996999999999957,1028115,0.0000000,0.0000000
15792,7875,Polyline,1,0,75.000000000000000,192.000000000000000,639.996999999999957,1075192,0.0000000,0.0000000
15793,3904,Polyline,1,0,17.000000000000000,97.000000000000000,639.996999999999957,1017097,0.0000000,0.0000000
15794,13715,Polyline,1,1,64.000000000000000,174.000000000000000,639.996999999999957,1064174,0.0126427,0.0588720
15795,1652,Polyline,1,0,6.000000000000000,79.000000000000000,639.996999999999957,1006079,0.0000000,0.0000000
15796,11425,Polyline,1,1,53.000000000000000,156.000000000000000,639.996999999999957,1053156,0.0112550,0.0756232
15797,6132,Polyline,1,1,42.000000000000000,138.000000000000000,639.996999999999957,1042138,-0.0020737,0.2126660
15798,6702,Polyline,1,0,31.000000000000000,120.000000000000000,639.996999999999957,1031120,0.0000000,0.0000000
15799,17067,Polyline,1,0,78.000000000000000,197.000000000000000,639.996999999999957,1078197,0.0000000,0.0000000
15800,4553,Polyline,1,0,20.000000000000000,102.000000000000000,639.996999999999957,1020102,0.0000000,0.0000000
15801,14387,Polyline,1,1,67.000000000000000,179.000000000000000,639.996999999999957,1067179,0.0054343,0.1024050
15802,2399,Polyline,1,0,9.000000000000000,84.000000000000000,639.996999999999957,1009084,0.0000000,0.0000000
15803,12096,Polyline,1,1,56.000000000000000,161.000000000000000,639.996999999999957,1056161,0.0175237,0.0519314
15804,9786,Polyline,1,1,45.000000000000000,143.000000000000000,639.996999999999957,1045143,-0.0018658,0.2069870
15805,7407,Polyline,1,1,34.000000000000000,125.000000000000000,639.996999999999957,1034125,-0.0036747,0.1622160
15806,17398,Polyline,1,0,81.000000000000000,202.000000000000000,639.996999999999957,1081202,0.0000000,0.0000000
15807,4979,Polyline,1,0,23.000000000000000,107.000000000000000,639.996999999999957,1023107,0.0000000,0.0000000
15808,14851,Polyline,1,1,70.000000000000000,184.000000000000000,639.996999999999957,1070184,0.0000647,0.1313310
15809,2906,Polyline,1,0,12.000000000000000,89.000000000000000,639.996999999999957,1012089,0.0000000,0.0000000
15810,12460,Polyline,1,1,59.000000000000000,166.000000000000000,639.996999999999957,1059166,0.0199797,0.0426364
15811,71,Polyline,1,0,1.000000000000000,71.000000000000000,639.996999999999957,1001071,0.0000000,0.0000000
15812,10586,Polyline,1,1,48.000000000000000,148.000000000000000,639.996999999999957,1048148,0.0011330,0.1658400
15813,8194,Polyline,1,1,37.000000000000000,130.000000000000000,639.996999999999957,1037130,0.0002629,0.1966900
15814,16735,Polyline,1,0,84.000000000000000,207.000000000000000,639.996999999999957,1084207,0.0000000,0.0000000
15815,423,Polyline,1,1,26.000000000000000,112.000000000000000,639.996999999999957,1026112,-0.0507475,0.0882257
15816,15624,Polyline,1,0,73.000000000000000,189.000000000000000,639.996999999999957,1073189,0.0000000,0.0000000
15817,3483,Polyline,1,0,15.000000000000000,94.000000000000000,639.996999999999957,1015094,0.0000000,0.0000000
15818,13315,Polyline,1,1,62.000000000000000,171.000000000000000,639.996999999999957,1062171,0.0170075,0.0468941
15819,1312,Polyline,1,0,4.000000000000000,76.000000000000000,639.996999999999957,1004076,0.0000000,0.0000000
15820,11109,Polyline,1,1,51.000000000000000,153.000000000000000,639.996999999999957,1051153,0.0069024,0.1005160
15821,8774,Polyline,1,1,40.000000000000000,135.000000000000000,639.996999999999957,1040135,-0.0012777,0.2113120
15822,6336,Polyline,1,0,29.000000000000000,117.000000000000000,639.996999999999957,1029117,0.0000000,0.0000000
15823,12228,Polyline,1,0,76.000000000000000,194.000000000000000,639.996999999999957,1076194,0.0000000,0.0000000
15824,4115,Polyline,1,0,18.000000000000000,99.000000000000000,639.996999999999957,1018099,0.0000000,0.0000000
15825,10416,Polyline,1,1,65.000000000000000,176.000000000000000,639.996999999999957,1065176,0.0101390,0.0722429
15826,1863,Polyline,1,0,7.000000000000000,81.000000000000000,639.996999999999957,1007081,0.0000000,0.0000000
15827,11744,Polyline,1,1,54.000000000000000,158.000000000000000,639.996999999999957,1054158,0.0139883,0.0647792
